lga_name,cul_2_asr,discrim_past_yr_2_asr,gsup_2_asr,psup_2_asr,saf_2_asr,vol_past_yr_2_asr,offence_rate
Maroondah,4.0,16.7,96.2,32.0,53.0,33.2,6.8698999999999995
Melbourne,2.1,17.7,94.5,27.2,59.9,27.9,26.2469
Melton,3.9,18.3,95.0,28.5,41.7,25.6,7.7504
Mildura,4.9,17.6,95.5,27.4,42.9,32.4,11.0246
Mitchell,5.3,17.4,96.0,28.2,52.1,36.6,8.2681
Moira,5.6,17.6,95.8,29.1,62.1,41.0,4.7921000000000005
Monash,2.5,17.8,95.0,31.1,57.5,28.3,5.146199999999999
Moonee Valley,2.7,16.8,95.6,29.2,55.4,28.8,7.2625
Moorabool,4.7,17.5,96.2,27.7,54.6,37.5,5.9933000000000005
Glen Eira,2.5,17.1,95.4,29.3,65.6,34.2,3.6323000000000003
Glenelg,5.4,17.3,96.2,28.7,61.3,43.4,8.8394
Moreland,2.6,17.8,95.1,28.7,52.8,28.9,7.7491
Mornington Peninsula,4.2,16.9,96.0,30.2,57.2,33.2,6.6883
Mount Alexander,5.0,19.2,96.7,28.1,63.4,48.6,6.3842
Moyne,5.0,16.6,96.5,29.5,76.6,51.3,7.9554
Murrindindi,5.0,17.2,96.1,28.5,62.4,43.3,4.7459
Nillumbik,3.8,15.7,96.7,30.0,61.4,39.6,3.1964
Northern Grampians,5.7,17.2,95.8,28.6,59.8,43.8,7.727600000000001
Port Phillip,2.7,16.1,95.6,27.5,63.2,33.5,11.5455
Pyrenees,6.0,17.5,95.5,28.5,63.8,45.0,6.0
Queenscliffe,3.4,16.8,96.2,30.8,70.9,46.7,3.2878000000000003
South Gippsland,5.1,17.1,96.3,28.6,70.3,43.6,4.551399999999999
Southern Grampians,5.1,16.2,96.4,29.4,73.1,50.9,5.9083000000000006
Stonnington,2.7,15.8,95.7,30.4,69.4,34.3,8.711799999999998
Strathbogie,5.0,17.2,96.1,29.0,72.1,49.3,4.9688
Surf Coast,3.8,16.8,96.6,30.3,72.2,45.5,4.6923
Swan Hill,5.6,18.1,95.4,30.3,57.7,44.4,10.3453
Towong,4.4,17.5,96.3,28.9,78.5,56.3,3.1687
Wangaratta,5.1,17.6,95.7,30.1,58.9,40.4,11.617700000000001
Wellington,4.9,17.1,95.7,28.9,59.8,43.3,9.4004
West Wimmera,5.8,17.5,96.1,29.9,79.2,57.2,4.7349
Whitehorse,2.6,17.1,95.6,31.9,59.1,34.1,4.4992
Whittlesea,3.4,18.4,95.2,30.7,41.9,24.1,7.3237
Wodonga,5.4,17.2,95.9,26.6,42.7,34.8,8.5863
Wyndham,3.7,18.3,95.2,31.2,42.3,25.9,6.4647
Yarra,2.5,16.3,95.0,26.6,61.4,35.0,14.8649
Yarra Ranges,4.8,16.9,96.3,29.2,51.1,34.0,4.702
Yarriambiack,5.8,17.5,96.1,29.9,79.1,57.2,4.7468
